brand,model,year,mileage,transmission,price
Daihatsu,AYLA X 1.2,2018,10508.0,Manual,101000000
Toyota,AGYA TRD SPORTIVO 1.0,2015,112888.0,Manual,82000000
Nissan,X-TRAIL 2.5,2015,118429.0,Automatic,169000000
Toyota,YARIS S TRD 1.5,2020,15945.0,Automatic,218000000
Toyota,AGYA G 1.2,2019,30404.0,Manual,117000000
Toyota,AVANZA G 1.3,2021,17306.0,Manual,180000000
Toyota,AVANZA G 1.5,2022,12211.0,Manual,211000000
Mitsubishi,OUTLANDER SPORT PX 2.0,2016,126885.0,Automatic,190000000
Honda,BRIO SATYA E 1.2,2019,33464.0,Manual,140000000
Honda,HR-V S 1.5,2021,33364.0,Automatic,248000000
Toyota,AGYA G TRD 1.2,2018,44969.0,Manual,117000000
Daihatsu,AYLA R 1.2,2019,43292.0,Manual,114000000
Daihatsu,AYLA R 1.2,2019,57385.0,Manual,110000000
Daihatsu,AYLA R DLX 1.2,2017,53151.0,Automatic,115000000
Toyota,AGYA G TRD 1.2,2019,46182.0,Manual,118000000
Wuling,ALMAZ LT LUX 1.5,2019,58152.0,Automatic,198000000
Daihatsu,TERIOS TX 1.5,2015,118704.0,Manual,141000000
Toyota,AGYA G TRD 1.2,2018,78385.0,Manual,117000000
Honda,MOBILIO E 1.5,2018,45376.0,Manual,155000000
Daihatsu,AYLA R 1.2,2018,37343.0,Manual,108000000
Daihatsu,AYLA R 1.2,2017,61937.0,Manual,105500000
Daihatsu,AYLA R 1.2,2018,47085.0,Manual,111000000
Suzuki,ERTIGA GL 1.5,2022,178000.0,Manual,190000000
Daihatsu,AYLA R 1.2,2019,10301.0,Manual,114000000
Honda,CR-V TURBO 1.5,2017,75302.0,Automatic,340000000
Wuling,CONFERO 2WD 1.5,2020,18298.0,Manual,101500000
Wuling,ALMAZ LT LUX 1.5,2019,50387.0,Automatic,202000000
Nissan,LIVINA VL 1.5,2019,64235.0,Automatic,197000000
Toyota,CALYA G 1.2,2021,44473.0,Automatic,138000000
Honda,BRIO SATYA E 1.2,2018,24577.0,Manual,135000000
Daihatsu,TERIOS R 1.5,2019,42320.0,Manual,193000000
Toyota,AVANZA G 1.3,2015,81158.0,Manual,127000000
Honda,HR-V S 1.5,2018,64753.0,Automatic,208000000
Mitsubishi,XPANDER ULTIMATE 1.5,2019,72887.0,Automatic,216000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,77425.0,Automatic,204000000
Daihatsu,AYLA X 1.0,2016,63175.0,Manual,89000000
Toyota,AGYA G TRD 1.2,2020,43689.0,Manual,123000000
Daihatsu,AYLA X 1.2,2019,85583.0,Manual,107000000
Toyota,CALYA G 1.2,2020,54512.0,Manual,133000000
Honda,HR-V E 1.5,2019,35177.0,Automatic,248000000
Mitsubishi,OUTLANDER SPORT PX 2.0,2018,57230.0,Automatic,228000000
Mitsubishi,OUTLANDER SPORT GLS 2.0,2014,133127.0,Automatic,157000000
Honda,BRIO SATYA E 1.2,2019,34815.0,Manual,142000000
Toyota,AVANZA G 1.3,2016,98478.0,Manual,143000000
Mitsubishi,OUTLANDER SPORT PX 2.0,2016,91926.0,Automatic,195000000
Honda,HR-V SE 1.5,2018,62209.0,Automatic,254000000
Wuling,ALMAZ S+T 1.5,2019,76950.0,Automatic,199000000
Suzuki,IGNIS GL 1.2,2018,43945.0,Manual,111500000
Wuling,ALMAZ S+T 1.5,2019,27804.0,Automatic,203000000
Daihatsu,AYLA R 1.2,2018,85184.0,Automatic,117000000
Daihatsu,TERIOS R 1.5,2019,40717.0,Manual,193000000
Mitsubishi,XPANDER ULTIMATE 1.5,2019,63130.0,Automatic,213000000
Honda,CR-V TURBO 1.5,2017,64558.00000000001,Automatic,335000000
Honda,HR-V SE 1.5,2018,43740.0,Automatic,255000000
Toyota,KIJANG INNOVA REBORN G 2.0,2017,51254.0,Manual,242000000
Honda,MOBILIO RS 1.5,2016,84060.0,Automatic,155000000
Toyota,KIJANG INNOVA V 2.0,2014,87616.0,Automatic,193000000
Toyota,AGYA G TRD 1.2,2019,53576.0,Manual,122000000
Toyota,KIJANG INNOVA G 2.0,2016,74730.0,Automatic,233000000
Suzuki,IGNIS GL 1.2,2017,79289.0,Manual,110000000
Toyota,AGYA GR SPORT 1.2,2022,5751.0,Manual,143000000
Daihatsu,AYLA R 1.2,2020,15552.0,Manual,123000000
Honda,MOBILIO E 1.5,2014,84575.0,Manual,127000000
Daihatsu,AYLA R 1.2,2018,8691.0,Manual,106000000
Daihatsu,TERIOS X DLX 1.5,2021,29897.0,Automatic,207000000
Honda,BRIO SATYA E 1.2,2020,15855.0,Manual,147000000
Honda,HR-V SE 1.5,2018,83286.0,Automatic,257000000
Honda,BRIO SATYA E 1.2,2018,36455.0,Automatic,139000000
Honda,BRIO RS 1.2,2020,46441.0,Automatic,180000000
Toyota,FORTUNER VRZ 2.4,2016,94919.0,Automatic,365000000
Mazda,CX-5 ELITE 2.5,2019,45271.0,Automatic,426000000
Nissan,GRAND LIVINA XV 1.5,2018,98416.0,Automatic,148000000
Suzuki,ERTIGA GL 1.5,2019,49988.0,Manual,163000000
Toyota,AGYA G 1.0,2017,78175.0,Manual,99000000
Toyota,AGYA G TRD 1.2,2019,56303.0,Automatic,128000000
Suzuki,IGNIS GX 1.2,2021,27044.0,Manual,148000000
Honda,HR-V S 1.5,2019,60978.0,Automatic,231000000
Wuling,CORTEZ C T LUX 1.5,2019,55534.0,Automatic,168000000
Wuling,ALMAZ RS LT LUX + SC CVT 1.5,2021,38223.0,Automatic,273000000
Wuling,CONFERO S 1.5,2019,32630.000000000004,Manual,104000000
Daihatsu,AYLA X 1.0,2019,73528.0,Manual,100000000
Wuling,ALMAZ L TURBO 1.5,2019,43439.0,Automatic,204000000
Daihatsu,AYLA R 1.2,2019,25400.0,Manual,117000000
Toyota,KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,2017,89898.0,Automatic,316000000
Toyota,AGYA G 1.0,2014,95007.0,Manual,87000000
Suzuki,BALENO HATCHBACK 1.4,2019,72458.0,Automatic,176000000
Suzuki,BALENO HATCHBACK 1.4,2019,41091.0,Manual,160000000
Daihatsu,AYLA R DLX 1.2,2018,21880.0,Manual,114000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,66471.0,Automatic,209000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,57815.0,Automatic,210000000
Daihatsu,AYLA X 1.0,2018,28113.0,Manual,100000000
Daihatsu,AYLA R 1.2,2020,54801.0,Automatic,136000000
Wuling,ALMAZ LT LUX 1.5,2019,41998.0,Automatic,203000000
Daihatsu,TERIOS X 1.5,2015,115866.0,Manual,148000000
Wuling,ALMAZ LT LUX + SC CVT 1.5,2019,64334.99999999999,Automatic,214000000
Toyota,AVANZA G 1.5,2022,7835.0,Manual,219000000
Honda,BRIO SATYA E 1.2,2019,42586.0,Manual,142000000
Honda,CITY RS HATCHBACK 1.5,2021,18936.0,Automatic,261000000
Honda,HR-V E 1.5,2015,122090.0,Automatic,198000000
Daihatsu,AYLA X ELEGANT 1.0,2017,34014.0,Manual,96000000
Toyota,KIJANG INNOVA G 2.0,2022,25226.0,Automatic,360000000
Daihatsu,AYLA R DLX 1.2,2018,6011.0,Manual,116000000
Toyota,AVANZA E 1.3,2017,70052.0,Automatic,135000000
Toyota,RUSH S TRD SPORTIVO 1.5,2020,53096.0,Automatic,224000000
Honda,MOBILIO E 1.5,2016,66129.0,Manual,136000000
Daihatsu,XENIA R STD 1.3,2019,34359.0,Manual,160000000
Wuling,CORTEZ S T LUX 1.5,2021,42302.0,Automatic,180000000
Wuling,CORTEZ L T LUX 1.5,2021,32320.0,Automatic,206000000
Wuling,ALMAZ LT LUX 1.5,2019,55346.0,Automatic,203000000
Honda,HR-V E 1.5,2018,85936.0,Automatic,232000000
Toyota,FORTUNER VRZ 2.4,2016,112148.0,Automatic,365000000
Mitsubishi,PAJERO SPORT DAKAR 4X2 2.4,2016,95178.0,Automatic,390000000
Honda,CITY RS HATCHBACK 1.5,2021,25160.0,Manual,246000000
Mitsubishi,XPANDER ULTIMATE 1.5,2017,53266.0,Automatic,201000000
Suzuki,XL7 ALPHA 1.5,2020,51694.0,Automatic,210000000
Daihatsu,AYLA X 1.0,2020,56960.0,Manual,100000000
Honda,BRIO SATYA E 1.2,2019,48434.0,Automatic,156000000
Honda,MOBILIO E 1.5,2019,52561.0,Automatic,172000000
Toyota,YARIS G 1.5,2019,65003.0,Automatic,191000000
Toyota,RUSH S TRD SPORTIVO 1.5,2019,74934.0,Automatic,212000000
Honda,MOBILIO E 1.5,2016,82350.0,Automatic,145000000
Toyota,RUSH S 1.5,2018,86251.0,Manual,201000000
Honda,HR-V E 1.5,2018,41320.0,Automatic,232000000
Daihatsu,XENIA X 1.3,2020,36205.0,Manual,163000000
Toyota,RUSH S GR SPORT 1.5,2021,58598.0,Automatic,239000000
Honda,CR-V 2.0,2017,104079.0,Automatic,248000000
Honda,BRIO SATYA E 1.2,2019,81726.0,Automatic,154000000
Honda,HR-V SE 1.5,2019,95389.0,Automatic,266000000
Daihatsu,AYLA R 1.2,2019,57138.0,Manual,115000000
Honda,CR-V TURBO 1.5,2017,117511.0,Automatic,336000000
Toyota,YARIS S TRD 1.5,2019,30898.0,Automatic,218000000
Daihatsu,ROCKY R 1.0,2021,21304.0,Automatic,216000000
Suzuki,ERTIGA GL 1.4,2016,132270.0,Manual,129000000
Toyota,KIJANG INNOVA REBORN V 2.0,2020,67327.0,Automatic,336000000
Honda,BRIO SATYA E 1.2,2018,55240.0,Automatic,142000000
Daihatsu,AYLA R 1.2,2019,17916.0,Manual,117000000
Toyota,RUSH S TRD SPORTIVO 1.5,2020,69785.0,Automatic,232000000
Toyota,YARIS S TRD 1.5,2021,39191.0,Automatic,240000000
Wuling,ALMAZ LT LUX CVT 1.5,2021,9775.0,Automatic,241000000
Daihatsu,AYLA R DLX 1.2,2019,33635.0,Manual,115000000
Toyota,AGYA G 1.0,2016,76931.0,Manual,95000000
Daihatsu,AYLA X 1.0,2017,93445.0,Manual,93000000
Daihatsu,AYLA X 1.0,2018,86462.0,Manual,98000000
Toyota,CALYA G 1.2,2019,40358.0,Manual,124000000
Toyota,RUSH S TRD SPORTIVO 1.5,2018,47810.0,Automatic,207000000
Wuling,CORTEZ T LUX 1.5,2019,72650.0,Automatic,178000000
Mitsubishi,XPANDER EXCEED 1.5,2019,34947.0,Manual,198000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,98742.0,Automatic,211000000
Suzuki,IGNIS GL 1.2,2019,26233.0,Manual,119000000
Toyota,AGYA G TRD 1.2,2018,55010.0,Automatic,126000000
Suzuki,BALENO HATCHBACK 1.4,2017,24032.0,Manual,152000000
Toyota,AGYA G TRD 1.0,2017,10656.0,Manual,105000000
Daihatsu,AYLA R 1.2,2018,78944.0,Manual,113000000
Mitsubishi,ECLIPSE CROSS ULTIMATE 1.5,2020,42516.0,Automatic,355000000
Honda,BRIO SATYA E 1.2,2020,64684.0,Automatic,159000000
Toyota,AGYA GR SPORT 1.2,2022,22803.0,Automatic,154000000
Daihatsu,AYLA R 1.2,2020,42587.0,Automatic,136000000
Toyota,RUSH S TRD 1.5,2018,67595.0,Automatic,211000000
Daihatsu,TERIOS R 1.5,2018,28869.0,Manual,194000000
Daihatsu,TERIOS X DLX 1.5,2019,70234.0,Manual,192000000
Honda,HR-V E 1.5,2016,65218.99999999999,Automatic,210000000
Honda,HR-V E 1.5,2016,74516.0,Automatic,211000000
Honda,HR-V E PLUS 1.5,2018,71135.0,Automatic,255000000
Mazda,2 GT SKYACTIV 1.5,2015,94312.0,Automatic,184000000
Toyota,RUSH S TRD SPORTIVO 1.5,2019,66029.0,Automatic,219000000
Toyota,KIJANG INNOVA REBORN G 2.0,2017,103601.0,Automatic,248000000
Toyota,AGYA G TRD 1.2,2018,30738.0,Manual,120000000
Toyota,AGYA G TRD 1.2,2018,45824.0,Manual,121000000
Nissan,X-TRAIL 2.0,2016,117889.0,Automatic,190000000
Honda,HR-V E 1.5,2018,54437.0,Automatic,236000000
Toyota,RUSH S TRD SPORTIVO 1.5,2019,51860.0,Manual,213000000
Honda,BRIO RS 1.2,2020,28884.0,Automatic,183000000
Honda,BRIO RS 1.2,2018,21701.0,Automatic,151000000
Suzuki,ERTIGA GX 1.4,2017,110889.0,Manual,149000000
Daihatsu,ROCKY R 1.0,2021,22709.0,Automatic,218000000
Toyota,RUSH S TRD SPORTIVO 1.5,2018,51410.0,Automatic,213000000
Toyota,SIENTA Q 1.5,2018,64808.00000000001,Automatic,199000000
Wuling,CONFERO S L LUX 1.5,2020,12790.0,Manual,127000000
Suzuki,SX4 S-CROSS 1.5,2017,96199.0,Automatic,169000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,67803.0,Automatic,211000000
Suzuki,ERTIGA SPORT GT 1.5,2019,78472.0,Automatic,196000000
Suzuki,IGNIS GX 1.2,2017,103106.0,Automatic,129000000
Daihatsu,SIGRA R DLX 1.2,2016,99317.0,Automatic,111000000
Daihatsu,SIGRA D 1.0,2019,29119.0,Manual,102000000
Mazda,2 R SKYACTIV 1.5,2016,83081.0,Automatic,174000000
Daihatsu,TERIOS X DLX 1.5,2018,41027.0,Manual,185000000
Honda,HR-V E PLUS 1.5,2018,73712.0,Automatic,256000000
Honda,HR-V E PLUS 1.5,2018,27308.0,Automatic,258000000
Mitsubishi,XPANDER SPORT 1.5,2019,70969.0,Automatic,210000000
Honda,BR-V E 1.5,2016,119436.0,Automatic,164000000
Honda,CITY E 1.5,2017,61556.0,Automatic,205000000
Toyota,KIJANG INNOVA REBORN G 2.0,2018,74520.0,Automatic,261000000
Daihatsu,AYLA R 1.2,2018,81739.0,Automatic,120000000
Honda,BRIO RS 1.2,2018,83538.0,Automatic,151000000
Honda,BRIO SATYA E 1.2,2020,52723.0,Automatic,162000000
Honda,HR-V E PLUS 1.5,2018,94946.0,Automatic,258000000
Honda,CITY RS HATCHBACK 1.5,2021,22670.0,Automatic,262000000
Honda,HR-V E 1.5,2019,68990.0,Automatic,261000000
Mazda,2 R SKYACTIV 1.5,2015,126721.0,Automatic,162000000
Mazda,2 R SKYACTIV 1.5,2015,117682.0,Automatic,166000000
Toyota,AGYA G 1.2,2022,9881.0,Manual,136000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,61532.0,Automatic,212000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,47180.0,Automatic,213000000
Nissan,LIVINA VL 1.5,2019,83691.0,Automatic,199000000
Toyota,RUSH S TRD SPORTIVO 1.5,2019,76928.0,Automatic,221000000
Toyota,RUSH S TRD SPORTIVO 1.5,2019,57056.0,Automatic,219000000
Daihatsu,TERIOS R DLX 1.5,2019,72957.0,Automatic,203000000
Daihatsu,XENIA R DLX 1.3,2013,140903.0,Automatic,106000000
Honda,BR-V E PRESTIGE 1.5,2018,85650.0,Automatic,182000000
Toyota,KIJANG INNOVA G LUX 2.0,2010,169237.0,Manual,129000000
Nissan,GRAND LIVINA XV 1.5,2014,142175.0,Automatic,100000000
Daihatsu,SIGRA R DLX 1.2,2017,122574.0,Manual,98000000
Honda,HR-V E 1.5,2018,92961.0,Automatic,224000000
Honda,MOBILIO RS 1.5,2015,73033.0,Automatic,139000000
Toyota,CALYA G 1.2,2016,59581.0,Manual,101000000
Daihatsu,AYLA R DLX 1.2,2019,80201.0,Automatic,118000000
Daihatsu,SIGRA R STD 1.2,2018,140428.0,Manual,101000000
Toyota,RUSH G 1.5,2017,89405.0,Automatic,161000000
Suzuki,ERTIGA GL 1.4,2013,77093.0,Automatic,111000000
Datsun,GO+ PANCA T 1.2,2017,46497.0,Manual,77000000
Toyota,CALYA G 1.2,2018,169351.0,Automatic,112000000
Daihatsu,ROCKY R 1.0,2021,24619.0,Manual,189000000
Daihatsu,XENIA X STD 1.3,2012,44746.0,Manual,102000000
Toyota,RAIZE TURBO G 1.0,2022,19489.0,Automatic,216000000
Toyota,KIJANG INNOVA Q 2.0,2018,53528.0,Automatic,314000000
Suzuki,ERTIGA GX 1.4,2018,79198.0,Manual,157000000
Toyota,AVANZA VELOZ 1.3,2016,172865.0,Manual,139000000
Honda,MOBILIO E 1.5,2017,59147.0,Automatic,157000000
Mitsubishi,XPANDER SPORT 1.5,2018,58752.0,Automatic,201000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,93142.0,Automatic,209000000
Mazda,CX-3 GT 2.0,2019,32130.000000000004,Automatic,323000000
Honda,BRIO E 1.2,2016,48751.0,Automatic,131000000
Mitsubishi,PAJERO SPORT DAKAR ULTIMATE 4X2 2.4,2018,73296.0,Automatic,428000000
Toyota,KIJANG INNOVA REBORN V 2.0,2017,34960.0,Automatic,278000000
Suzuki,ERTIGA SPORT GT 1.5,2019,18426.0,Manual,186000000
Toyota,AGYA G TRD SPORTIVO 1.2,2021,36037.0,Automatic,145000000
Suzuki,XL7 ALPHA 1.5,2021,26534.0,Automatic,221000000
Suzuki,BALENO HATCHBACK 1.4,2018,79665.0,Automatic,165000000
Honda,CITY RS HATCHBACK 1.5,2021,46694.0,Automatic,262000000
Toyota,KIJANG INNOVA REBORN G 2.0,2018,80809.0,Automatic,255000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,82596.0,Automatic,213000000
Wuling,ALMAZ S+T SMART ENJOY 1.5,2021,39239.0,Automatic,220000000
Suzuki,IGNIS GX AGS 1.2,2018,125114.0,Automatic,125000000
Hyundai,CRETA PRIME 1.5,2022,28896.0,Automatic,319000000
